n,wr,pf,avg,total,dd,gapf,conf,sl,tp,maxbars
1751,0.48315248429468877,1.1270609219052852,0.05357002134799165,93.80110738033338,-24.085786277173682,0.5,2,0.4,1.5,22
1751,0.47458595088520844,1.1846495032662712,0.07910361278662657,138.51042598938312,-22.505349925445545,0.5,2,0.4,2.0,22
1751,0.4694460308395203,1.1871577359955456,0.08098802510972315,141.81003196712524,-23.611182184008186,0.5,2,0.4,2.5,22
1751,0.46659051970302684,1.2001031264747521,0.08716122931583123,152.61931253202047,-24.562248057927377,0.5,2,0.4,3.0,22
1751,0.500856653340948,1.1387979644271182,0.05110230005712951,89.48012740003378,-22.57866746894709,0.5,2,0.5,1.5,22
1751,0.4945745288406625,1.1507117497051311,0.05621537246296147,98.43311718264553,-23.895080432462557,0.5,2,0.5,2.0,22
1751,0.49171901770416904,1.1681877748904956,0.06316327853715376,110.59890071855622,-24.65593313159792,0.5,2,0.5,2.5,22
1751,0.49114791547687037,1.1720008227632648,0.06469350687312177,113.27833053483621,-25.38136926727727,0.5,2,0.5,3.0,22
1751,0.5168475157053113,1.1504690241557118,0.047809936030564465,83.71519798951837,-17.85565938887862,0.5,2,0.6,1.5,22
1751,0.5145631067961165,1.1775334430000024,0.056753254504360716,99.37494863713562,-20.226924810529823,0.5,2,0.6,2.0,22
1751,0.5139920045688178,1.1886935636734661,0.06040237023248746,105.76455027708553,-20.258322217590262,0.5,2,0.6,2.5,22
1751,0.5139920045688178,1.1834750509800882,0.058731881162103386,102.83952391484303,-20.258322217590262,0.5,2,0.6,3.0,22
1606,0.4900373599003736,1.1368161859847636,0.05756889334217269,92.45564270752934,-15.442374748760528,0.5,3,0.4,1.5,22
1606,0.48194271481942713,1.1710249920399491,0.07310359946838321,117.40438074622344,-15.611789464649064,0.5,3,0.4,2.0,22
1606,0.4775840597758406,1.1927753345461034,0.08316345798675219,133.560513526724,-16.023316095400176,0.5,3,0.4,2.5,22
1606,0.47447073474470736,1.187496064567268,0.08146971221612834,130.8403578191021,-16.82237225007249,0.5,3,0.4,3.0,22
1606,0.5149439601494396,1.175491745669565,0.06291608629690601,101.04323459283104,-15.658798543882313,0.5,3,0.5,1.5,22
1606,0.5087173100871731,1.2011977532601037,0.07299295031138385,117.22667820008246,-16.677282374242736,0.5,3,0.5,2.0,22
1606,0.5056039850560399,1.199831344523851,0.07306008865591992,117.33450238140739,-17.630013906920638,0.5,3,0.5,2.5,22
1606,0.5049813200498132,1.2027882640701573,0.07419039337916505,119.14977176693907,-17.630013906920638,0.5,3,0.5,3.0,22
1606,0.5292652552926526,1.199738395443011,0.06162855610641027,98.9754611068949,-12.591179159668286,0.5,3,0.6,1.5,22
1606,0.5255292652552926,1.2060698717543754,0.06427965805229958,103.23313083199314,-16.78085539202265,0.5,3,0.6,2.0,22
1606,0.524906600249066,1.2167006628306134,0.06763957401127163,108.62915586210224,-16.34797926347789,0.5,3,0.6,2.5,22
1606,0.5242839352428393,1.2108915770125657,0.06583611339195751,105.73279810748376,-15.590026429117387,0.5,3,0.6,3.0,22
1447,0.5044920525224602,1.231662057826565,0.09300223572083774,134.5742350880522,-14.142116099562926,0.5,4,0.4,1.5,22
1447,0.49550794747753973,1.272531152935657,0.11149366024550125,161.3313263752403,-14.324763447417581,0.5,4,0.4,2.0,22
1447,0.48997926744989634,1.275557795337558,0.11412974209215727,165.14573680735157,-15.022990122166263,0.5,4,0.4,2.5,22
1447,0.48721492743607464,1.2815556476574503,0.11721791646059991,169.61432511848807,-16.81091330678541,0.5,4,0.4,3.0,22
1447,0.5238424326192122,1.249808330267831,0.08606049315063106,124.52953358896315,-15.958756929337525,0.5,4,0.5,1.5,22
1447,0.5169315825846579,1.2594865895719831,0.09088358240139922,131.50854373482468,-16.67674472697321,0.5,4,0.5,2.0,22
1447,0.5141672425708362,1.2709605949517962,0.09544220270687209,138.10486731684392,-18.587900939200196,0.5,4,0.5,2.5,22
1447,0.5134761575673807,1.2808912715115204,0.09902033319964004,143.28242213987915,-18.026733429434245,0.5,4,0.5,3.0,22
1447,0.5362819626814098,1.2674472363790792,0.07991956360739652,115.64360853990276,-14.794986795180293,0.5,4,0.6,1.5,22
1447,0.5335176226675881,1.2855168612769767,0.08570653923135019,124.01736226776373,-14.528604240935366,0.5,4,0.6,2.0,22
1447,0.5328265376641327,1.3019509273340217,0.09071155208256286,131.25961586346847,-15.413198246922128,0.5,4,0.6,2.5,22
1447,0.5321354526606773,1.2972292745046814,0.08933123869781993,129.26230239574545,-14.76045846411516,0.5,4,0.6,3.0,22
1606,0.4900373599003736,1.1368161859847636,0.05756889334217269,92.45564270752934,-15.442374748760528,0.5,3,0.4,1.5,22
2009,0.483325037332006,1.1334384415987269,0.05671839852217076,113.94726263104106,-25.956838478933165,0.75,2,0.4,1.5,22
2009,0.4738675958188153,1.197501567390641,0.08547123711489127,171.71171536381655,-26.477742658075655,0.75,2,0.4,2.0,22
2009,0.4683922349427576,1.2073829217160126,0.09064039848414998,0.5,0.0,0.75,2,0.4,2.5,22
